season_week,all_cause,septicemia,cancer,diabetes,Alzheimers,influenza_pneumonia,chronic_LRD,other_respiratory,kidney,NEC,heart_disease,CBVD,COVID19_UCOD
1.0,49416.41927731103,674.8439239921621,11066.399601089362,1410.686040043307,2085.887984011814,749.7743914203226,2537.621223995821,734.9523088792558,858.3171461443084,620.026088490327,11216.802610408966,2578.420060249908,0.0
2.0,49333.687633249116,696.9315431229694,11035.559625542432,1403.3616225282676,2117.5842584593393,752.7260608722872,2586.297175172198,731.6604046723193,867.5651742266151,625.7417702079676,11296.060471236537,2596.237537753552,0.0
3.0,49706.736654876026,702.6009855028151,11031.980677256615,1452.511920290233,2104.3045573613017,784.3427179284516,2656.846067035463,720.0791002567145,855.6931584849663,586.9880670497929,11460.300738491364,2638.2813330557287,0.0
4.0,50227.44753166818,738.5197333328065,11030.583428836268,1447.2834639170403,2217.453482915316,775.8267263597348,2631.128920152701,741.3658704825763,906.4585291214307,631.4093799522033,11505.548958096182,2671.154866434618,0.0
5.0,50441.6791616531,680.4778948407542,11011.404668773337,1460.7565849021612,2218.536706022401,769.8302936651772,2635.4673853220233,748.1781832068679,902.6750222482397,617.4434862600579,11621.406783125174,2657.073484449657,0.0
6.0,50559.448815811425,722.2852112919633,11062.235337726961,1505.4071581407145,2191.4299515595576,813.9803187802067,2675.161483428619,751.070425118197,918.9272903410473,626.0457754300178,11615.985121755892,2721.5642131896534,0.0
7.0,51342.783700370645,731.4105282081237,11092.707391568403,1486.682388255295,2248.5276886866172,831.6573493520767,2720.6115803824373,747.0665911038504,919.1854188086578,619.7164404988727,11959.110660995771,2762.973989706013,0.0
8.0,51459.6475534876,714.9087976661657,11026.784960866711,1551.8428847752282,2247.8257212042777,837.4495028980691,2774.757200353686,725.6516098290678,941.0077863638576,641.8999652830328,12111.751185857895,2742.9523992379804,0.0
9.0,52191.85586180716,769.8716771183063,10917.23100706654,1540.2987705229273,2263.2185472160454,891.303306050319,2906.8758146313726,787.4979853374087,951.0393416005282,699.4484619041042,12333.337965569526,2820.3934986797626,0.0
10.0,52850.29066217473,750.4554570013496,11048.107563231237,1585.1537780589572,2329.455011134775,957.4249462470174,2919.0667032605543,806.2726720941256,950.7729096978134,719.7656607281984,12375.814053505548,2815.7109494522665,0.0
