jurisdiction,week_end_date,all_cause,septicemia,cancer,diabetes,Alzheimers,influenza_pneumonia,chronic_LRD,other_respiratory,kidney,NEC,heart_disease,CBVD,COVID19_UCOD,season_week,season
United States,6/27/2015,47767.653999760194,676.2102076789531,10960.584052210837,1292.63353723995,1766.8053292099478,843.2011431118653,2701.7484059855733,690.6415230867357,886.4950893352129,583.4374657717797,11058.510835335075,2439.9231121586618,0.0,38.0,0.0
United States,7/4/2015,48003.70908750178,688.5799065999096,11133.759837104228,1385.4062791471235,1821.4381661108387,786.5066897241483,2642.9923361110305,650.4400015936272,847.3243760855175,552.5132184693886,11123.451754670097,2453.3236193230314,0.0,39.0,0.0
United States,7/11/2015,47559.430734590765,718.4733456588878,10762.668869475534,1389.5295121207757,1758.5588632626434,779.291032020257,2529.603429335596,606.1152471268665,872.0637739274305,563.852109146932,11189.42348224853,2449.200386349379,0.0,40.0,0.0
United States,7/18/2015,47965.5691824955,712.2884961984095,11124.48256291351,1363.7593060354498,1884.3174689590342,785.4758814807352,2553.312018934096,683.4258653828444,863.8173079801261,513.3425052196931,11164.68408440662,2511.048880954161,0.0,41.0,0.0
United States,7/25/2015,47301.7286737375,678.2718241657792,11069.849726012619,1328.7118257594063,1848.2391804395777,713.3193044418225,2470.8473594610527,634.9778779424316,828.7698277040828,576.2218080678884,11043.04871168388,2376.013001067053,0.0,42.0,0.0
United States,8/1/2015,47070.82762721298,616.4233295609969,10864.718885573424,1201.9224118196028,1786.3906858347955,730.8430445798442,2460.5392770269227,625.7006037517143,845.2627595986914,557.6672596864537,11036.863862223401,2531.665045822422,0.0,43.0,0.0
United States,8/8/2015,46568.82401267083,692.7031395735618,10799.777966238402,1316.34212683845,1768.8669456967739,789.5991144543874,2341.996329034423,625.7006037517143,778.260223776844,576.2218080678884,10637.941072022555,2341.996329034423,0.0,44.0,0.0
United States,8/15/2015,46774.98566135344,688.5799065999096,11064.695684795553,1299.8491949438414,1759.5896715060564,742.1819352573876,2289.425108620358,627.7622202385403,821.5541700001916,533.9586700879538,10800.808774481815,2434.7690709415965,0.0,45.0,0.0
United States,8/22/2015,47166.692793850394,692.7031395735618,11098.712356828184,1322.5269762989283,1776.082603400665,757.6440589085831,2415.183714316749,648.3783851068011,814.3385122963003,512.31169697628,10822.455747593489,2422.39937202064,0.0,46.0,0.0
United States,8/29/2015,47323.37564684918,734.9662775534963,11076.034575473097,1341.081524680363,1861.6396876039473,791.6607309412134,2441.984728645488,673.1177829487141,874.1253904142565,559.7288761732798,10895.643132875815,2389.413508231423,0.0,47.0,0.0
United States,9/5/2015,47471.81203390066,701.9804137642791,11154.376001972489,1290.571920753124,1865.7629205775993,742.1819352573876,2403.8448236392055,620.5465625346491,843.2011431118653,545.2975607654973,10767.8229106926,2491.4635243293137,0.0,48.0,0.0
United States,9/12/2015,47520.26002134107,692.7031395735618,11021.401738572205,1293.6643454833631,1897.7179761234036,776.1986072900179,2393.536741205075,688.5799065999096,829.8006359474958,564.882917390345,10945.121928559642,2471.878167704466,0.0,49.0,0.0
United States,9/19/2015,47546.030227426396,655.5940428106924,11134.79064534764,1357.5744565749715,1858.5472628737082,745.2743599876267,2477.032208921531,687.5490983564965,891.6491305522782,575.1909998244754,10966.768901671316,2426.522604994292,0.0,50.0,0.0
United States,9/26/2015,47997.524238041304,725.689003362779,11099.743165071597,1316.34212683845,1904.933633827295,755.5824424217572,2487.3402913556615,674.1485911921271,895.7723635259304,582.4066575283666,10948.21435328988,2557.435251907748,0.0,51.0,0.0
United States,10/3/2015,47528.506487288374,727.7506198496051,11202.8239894129,1361.6976895486237,1906.995250314121,842.1703348684523,2469.8165512176397,645.285960376562,830.8314441909089,558.6980679298667,11038.925478710227,2396.629165935314,0.0,52.0,0.0
United States,10/10/2015,49235.31736241178,737.8032135823023,11246.126653633151,1406.0216580611418,2077.3100188239578,858.5532540853698,2583.846205680046,698.9176073186026,848.3201998054487,610.9133405112822,11407.808911255903,2532.6809342804413,0.0,1.0,1.0
United States,10/17/2015,48173.12632815598,685.6146367547053,10987.23038035115,1403.9750472051578,2004.655333436519,806.3646772577728,2534.7275451364253,653.8921684869503,842.1803672374962,631.3794490711241,11069.094814590519,2524.4944908565044,0.0,2.0,1.0
United States,10/24/2015,48896.603265746395,733.7099918703339,10956.531217511387,1432.6275991889365,2044.5642451282108,887.2058060691485,2595.102565387959,675.3815824747843,906.6486092009983,567.9345125356141,11351.527112716338,2607.382230523864,0.0,3.0,1.0
United States,10/31/2015,48705.24515071187,723.476937590413,11101.840588286264,1442.8606534688574,2045.5875505562028,837.0638400975357,2554.170348268275,654.9154739149424,845.2502835214725,574.0743451035667,11220.54401793335,2637.0580879356353,0.0,4.0,1.0
United States,11/7/2015,49423.60556116232,759.2926275701363,11151.982554257878,1415.2314069130707,2102.8926545237605,897.4388603490695,2620.6852010877615,699.9409127465947,883.1125843571801,565.8879016796299,11429.298325243737,2707.6661624670896,0.0,5.0,1.0
United States,11/14/2015,49018.37661167745,728.5934647303734,10907.412556967767,1494.0259248684622,2097.7761273837996,801.2481501178123,2635.011477079651,708.1273561705315,916.8816634809193,618.0764785072269,11358.690250712281,2518.354658288552,0.0,6.0,1.0
United States,11/21/2015,49651.80267160456,743.9430461502549,11060.90837116658,1436.7208209009048,2113.1257088036814,860.599864941354,2672.8737779153585,719.3837158784445,884.1358897851721,602.7268970873454,11692.287820237705,2674.920388771343,0.0,7.0,1.0
United States,11/28/2015,49373.46359519071,727.5701593023813,10839.874398720289,1412.1614906290945,2093.6829056718316,842.1803672374962,2683.1068321952794,703.0108290305709,910.7418309129667,649.7989467749819,11747.54631334928,2726.0856601709474,0.0,8.0,1.0
United States,12/5/2015,50268.85584468379,753.1527950021837,10875.690088700012,1445.9305697528337,2123.3587630836023,928.1380231888323,2784.4140695664973,712.2205778824998,892.3223332091089,621.1463947912032,11988.02308892742,2647.291142215556,0.0,9.0,1.0
United States,12/12/2015,51812.000430095875,750.0828787182074,11289.10548160882,1439.7907371848812,2227.7359167387963,932.2312449008008,2912.327248065509,728.5934647303734,964.9770185965479,648.7756413469898,12354.366432148592,2749.6216850147657,0.0,10.0,1.0
United States,12/19/2015,50169.595218168564,749.0595732902153,10905.365946111782,1428.534377476968,2154.057925923365,975.2100728764689,2836.6026463940943,760.3159329981285,897.4388603490695,651.845557630966,11916.391708967974,2599.1957870999277,0.0,11.0,1.0
United States,12/26/2015,50959.58700857846,761.3392384261205,11012.813016050954,1509.3755062883438,2277.877882710409,915.8583580529272,2889.8145286496833,703.0108290305709,960.8837968845795,727.5701593023813,12091.376937154624,2635.011477079651,0.0,12.0,1.0
United States,1/2/2016,50914.56156974681,796.1316229778519,10684.33197366549,1480.722954304565,2134.615122791515,1091.8668916675679,3049.4501754164503,768.5023764220651,1006.9325411442239,634.4493653551004,12253.059194777376,2702.549635327129,0.0,13.0,1.0
United States,1/9/2016,53925.12613889956,870.8329192212749,11325.944477016534,1578.9602753918064,2272.7613555704484,1198.290656178746,3109.825195667984,875.9494463612355,1023.3054279920974,647.7523359189977,12817.923791029012,2912.327248065509,0.0,14.0,1.0
United States,1/16/2016,53683.62605789342,810.4578989697412,11438.508074095666,1539.0513637001145,2267.644828430488,1197.267350750754,3067.869673120308,792.0384012658834,1017.1655954241448,605.7968133713217,12818.947096457005,2780.320847854529,0.0,15.0,1.0
United States,1/23/2016,53249.744556424776,821.7142586776542,11274.77920561693,1587.146718815743,2363.835538661745,1094.9368079515443,3218.2955710351466,785.8985686979308,976.233378304461,579.1908722435271,12626.56567599449,2788.5072912784653,0.0,16.0,1.0
United States,1/30/2016,53624.27434306988,777.712125273994,11433.391546955705,1571.7971373958617,2284.0177152783617,1109.2630839434337,3108.801890239992,807.3879826857649,977.2566837324531,604.7735079433296,12730.942829649684,2936.88657833732,0.0,17.0,1.0
United States,2/6/2016,52869.07493721171,784.8752632699387,10999.510045487055,1472.5365108806282,2297.3206858422586,1111.309694799418,3106.7552793840077,752.1294895741917,993.6295705803266,617.0531730792347,12573.353793738901,2770.087793574608,0.0,18.0,1.0
United States,2/13/2016,53213.92886644505,772.5955981340336,11472.277153219404,1470.489900024644,2196.013448471041,1120.5194436513468,3300.1600052745143,752.1294895741917,961.9071023125716,599.6569808033692,12846.576343012792,2686.176748479256,0.0,19.0,1.0
United States,2/20/2016,53951.73208002735,734.733297298326,11219.520712505357,1570.7738319678697,2301.413907554227,1194.1974344667776,3315.5095866943957,774.6422089900178,972.1401565924925,626.2629219311636,13005.188684351566,2808.9733998383076,0.0,20.0,1.0
United States,2/27/2016,53157.647067905484,828.8773966735989,11138.67958369398,1635.2420739313718,2218.5261678868674,1263.7822035702404,3290.9502564225854,748.0362678622232,971.1168511645005,595.5637590914007,12612.239400002602,2718.922522175003,0.0,21.0,1.0
United States,3/5/2016,54023.3634599868,809.4345935417491,11408.832216683895,1525.7483931362174,2204.199891894978,1385.5555495013,3222.388792747115,822.7375641056464,999.7694031482793,657.9853901989187,12729.919524221692,2789.530596706458,0.0,22.0,1.0
United States,3/12/2016,54302.725841828644,823.7608695336385,11455.904266371532,1517.5619497122805,2144.848177071436,1413.1847960570865,3455.7024303293133,763.3858492821047,1049.911369119892,608.866729655298,12803.597515037123,2778.2742369985444,0.0,23.0,1.0
United States,3/19/2016,52792.327030112305,800.2248446898202,11076.257952586462,1495.0492302964544,2204.199891894978,1331.3203618177188,3487.424898597068,823.7608695336385,958.8371860285953,621.1463947912032,12491.489359499534,2666.733945347406,0.0,24.0,1.0
United States,3/26/2016,52746.27828585266,798.178233833836,11123.330002274099,1509.3755062883438,2154.057925923365,1343.600026953624,3330.859168114277,819.66764782167,983.3965163004057,528.0256008439222,12430.091033820008,2753.714906726734,0.0,25.0,1.0
United States,4/2/2016,52157.87766475721,823.7608695336385,11062.954982022566,1513.4687280003122,2124.3820685115943,1264.8055089982324,3261.2743990108147,739.8498244382864,963.9537131685559,563.8412908236457,12352.319821292609,2693.3398864752003,0.0,26.0,1.0
