Explained,Unexplained,Total Unreported
33954.5231049234,15552.263369438224,14955.495067371014
33769.474805881124,15241.332726702902,14641.071250087709
34549.58713425437,15389.627197637645,14814.474013574596
34790.33916220882,15679.988361870237,15060.556739778884
34899.327008840075,16016.816486914104,15380.739129950218
35012.518045550925,15692.141342064882,15086.851544390984
35504.75275192352,15968.481120252727,15371.66925536985
35875.46185790869,15873.150650104042,15251.192054890493
36180.48254127228,15971.958853726595,15295.175671358014
36524.19458063209,16366.453926719798,15682.056512243234
37518.733052311305,16439.713084596384,15775.941524031081
38333.78454986923,16715.012216394527,15994.806609124975
38884.01880390338,16818.41823795624,16130.935155346815
41309.97785572884,17839.026144538948,17167.60703912427
41909.188435880096,17898.963549902714,17242.58840736706
41067.79088333865,17401.534156652604,16776.441205453386
40122.55404570932,17207.9002990394,16569.834163815434
39472.250565066046,17085.00637969903,16466.015576764185
39528.38466517236,17194.002111774076,16587.148979885198
39196.29017155179,16664.941826774033,16043.495801236915
38460.75123469306,16530.937938259136,15965.354451822755
37970.82588525242,16456.825395736545,15858.562947455706
38292.1950513346,16655.454261667022,16037.017028705708
37877.858453000306,16405.8399231362,15813.143990776185
37456.0509916724,16223.290409511894,15667.32018351785
37060.54884888175,15983.517461538751,15429.146445019647
36882.52776730712,16292.582326905307,15707.913258105531
36458.20351696859,16102.928522368144,15506.198658079462
35865.505154015416,15746.109916092602,15193.140795118656
35445.21233904972,15570.31862144891,14999.71193899096
35346.414319538766,15762.942780783334,15205.952540473563
34547.30116980303,15582.84336472414,15040.023136536078
34218.05396412573,15322.65482128779,14762.24315694996
34348.10079626903,15263.962931873757,14709.081908196791
33995.51350181463,15293.030711390667,14762.138027725941
34112.805029974246,15745.989543682539,15174.337221723177
33911.53131506739,15422.172908516528,14883.371237145722
33789.61627782023,15252.158322278992,14696.116345765025
33594.33452287929,15307.795293782998,14727.165281949026
33662.498668251676,15661.392286516144,15078.701745902172
33455.07924226479,15519.176901178631,14963.224612814567
33123.848251439136,15403.91771409478,14835.90719276038
33189.685432063096,15236.550539352174,14676.528443799481
33229.79924971571,15245.758789935273,14677.686768155225
33067.62433125751,15703.835697398477,15102.098012199638
32983.14751246381,15094.724722799816,14499.409566649136
32992.84021098176,15194.617069664993,14647.655283768381
33018.97620540534,15295.88824940822,14749.008464105806
32869.561913856094,15621.275972307638,15030.051123494135
33383.2193514521,15446.3046836059,14898.348508579249
33529.814476799605,15503.238553356467,14969.40370259872
33704.88327313236,15506.331975007728,14913.161910749812
