season_week,all_cause,septicemia,cancer,diabetes,Alzheimers,influenza_pneumonia,chronic_LRD,other_respiratory,kidney,NEC,heart_disease,CBVD,COVID19_UCOD
1.0,49148.50674416804,686.8697156367859,11149.631748792084,1397.2495864361247,2017.6555500700367,783.1666884436275,2533.069535230862,704.2823710068948,856.1864787412696,610.8484773177288,11258.38710421952,2536.156949708487,0.0
2.0,48868.428365493266,699.1533311731189,11047.399712076969,1383.1643668302163,2036.1338774378487,783.1837807308891,2556.774447413366,699.027562609137,849.7665875398703,610.8437497347093,11281.539026869284,2570.5401280710553,0.0
3.0,49191.31252745354,699.3926448314121,11049.174927686434,1420.0334513609237,2044.201133177324,815.2082774051843,2617.982120988158,699.4694508477406,857.6238492277641,579.1648175928619,11383.577272774603,2616.0771679369313,0.0
4.0,49433.502253365,730.4402849847941,11072.676582871667,1410.4969178993588,2116.2077760544867,803.6200915527594,2596.6463468478346,700.7187159651976,879.7193905695947,596.1224371474257,11352.939798462443,2635.537234708584,0.0
5.0,50121.16764646875,699.498146592167,11085.992630029992,1433.8932051850984,2147.308758629551,804.862031418749,2645.7537372646975,724.9307411172024,883.3391278563258,603.1643159967376,11605.69223119922,2669.273683028933,0.0
6.0,50014.46159932951,718.4380695127021,11047.638765882324,1484.8622454031604,2125.090545673464,812.5021087146363,2655.4781126463395,722.3443612954218,903.1377844025992,609.2610838084087,11594.818676641014,2665.93947345222,0.0
7.0,51006.10078488318,735.8412685988974,11164.23324551422,1480.9407863388037,2180.3551676690627,863.4386562143002,2702.5268091385533,734.1516061646762,920.6708843923756,608.0816621315332,11929.108486262801,2743.7946565531297,0.0
8.0,50890.17698009811,719.9804449581931,10994.156394426309,1496.7868084243898,2195.2138877202183,861.5856260593224,2739.313232049497,713.9028843364638,928.9963882832077,621.7309722157854,12078.014058853305,2736.6245392071523,0.0
9.0,51696.83324060092,774.347393024914,10960.937178205912,1492.4687914930307,2223.9918492045313,926.5246233350865,2862.7707658146987,755.7418702209541,947.8191199712273,660.7879383844194,12245.104410487962,2756.8402324442604,0.0
10.0,52568.26326431505,749.3091102946653,11149.6920238495,1554.4308220027863,2286.454682713208,984.9579746205515,2928.23077435417,770.4708221570936,962.3956979085018,671.1206204477774,12375.239806723872,2811.5851468429305,0.0
11.0,53053.75962760644,800.4773826479711,11230.590949002764,1524.9130440454333,2307.1835261386705,1100.0344507749533,2997.1256096025218,781.5326422919085,942.7083192918324,649.5145356698183,12592.423214802717,2838.244208415802,0.0
12.0,54045.687251042444,799.0771555876338,11209.73043748584,1595.6474461646224,2405.762260210954,1180.4221121821722,3131.6789272095098,793.321576775212,998.6952773681154,705.3490585391357,12891.11024248402,2847.977040825948,0.0
13.0,55117.01912817855,847.7138486366888,11031.564958228872,1628.6955413692804,2368.3699917866775,1458.0123574680176,3356.5426097083227,828.8323823212697,1020.6782729498811,683.352862649674,13320.590240081463,2866.2444940097726,0.0
14.0,58003.33852884047,885.4485031007964,11308.372238323489,1757.8512802722842,2501.005273220922,1771.0828289142587,3591.168037640238,901.3305464430921,1069.1419248782881,655.3014339599997,13938.581510803382,3012.319755000215,0.0
15.0,58355.74882471546,879.1140184522603,11586.51965549341,1722.1458354488527,2600.835844130478,1809.8808730710189,3635.4079024076427,896.261424522555,1071.708465520962,647.4367591601846,13834.239876638381,2989.7636566477872,0.0
16.0,56934.94879374374,854.3510946386207,11367.907876050027,1672.0483122969908,2591.8807121579052,1754.7508125804147,3546.4098695836256,882.3911716645446,1058.2121540910543,627.9254210734259,13436.862860474157,2982.0999069236664,0.0
