all_cause,septicemia,cancer,diabetes,Alzheimers,influenza_pneumonia,chronic_LRD,other_respiratory,kidney,NEC,heart_disease,CBVD,COVID19_UCOD,Explained,Unexplained,Total Unreported
49416.41927731103,674.8439239921621,11066.399601089362,1410.6860400433068,2085.887984011814,749.7743914203226,2537.621223995821,734.9523088792557,858.3171461443084,620.026088490327,11216.802610408964,2578.420060249908,0.0,33913.70529023522,15502.713987075813,16122.740075566138
49333.68763324912,696.9315431229694,11035.559625542432,1403.3616225282676,2117.5842584593397,752.7260608722873,2586.297175172198,731.6604046723191,867.5651742266151,625.7417702079676,11296.060471236535,2596.237537753552,0.0,34083.98387358652,15249.703759662605,15875.445529870569
49706.736654876026,702.6009855028151,11031.980677256615,1452.5119202902329,2104.3045573613017,784.3427179284516,2656.846067035463,720.0791002567145,855.6931584849663,586.9880670497929,11460.300738491365,2638.281333055729,0.0,34406.94125566366,15299.795399212366,15886.78346626216
50227.447531668186,738.5197333328066,11030.583428836268,1447.2834639170403,2217.453482915316,775.8267263597348,2631.128920152701,741.3658704825763,906.4585291214308,631.4093799522033,11505.548958096182,2671.154866434618,0.0,34665.32397964869,15562.123552019497,16193.532931971698
50441.6791616531,680.4778948407543,11011.404668773335,1460.7565849021612,2218.536706022401,769.8302936651774,2635.467385322024,748.1781832068679,902.6750222482395,617.4434862600579,11621.406783125174,2657.073484449657,0.0,34705.8070065558,15735.8721550973,16353.315641357356
50559.44881581143,722.2852112919632,11062.235337726961,1505.4071581407145,2191.4299515595576,813.9803187802067,2675.1614834286192,751.070425118197,918.9272903410472,626.0457754300178,11615.985121755892,2721.564213189653,0.0,34978.04651133282,15581.402304478615,16207.448079908632
51342.783700370645,731.4105282081238,11092.707391568403,1486.682388255295,2248.527688686617,831.6573493520767,2720.6115803824373,747.0665911038504,919.1854188086577,619.7164404988728,11959.110660995771,2762.973989706013,0.0,35499.93358706723,15842.850113303415,16462.566553802288
51459.6475534876,714.9087976661658,11026.784960866711,1551.8428847752282,2247.8257212042777,837.4495028980691,2774.757200353686,725.6516098290676,941.0077863638576,641.8999652830328,12111.751185857896,2742.9523992379804,0.0,35674.93204905295,15784.715504434651,16426.615469717683
52191.855861807155,769.8716771183063,10917.23100706654,1540.2987705229273,2263.218547216045,891.3033060503191,2906.8758146313735,787.4979853374087,951.0393416005282,699.4484619041043,12333.337965569526,2820.3934986797626,0.0,36181.06791379275,16010.787948014404,16710.236409918507
52850.290662174724,750.4554570013496,11048.107563231235,1585.1537780589572,2329.4550111347753,957.4249462470174,2919.0667032605543,806.2726720941257,950.7729096978134,719.7656607281984,12375.814053505546,2815.710949452266,0.0,36538.23404368364,16312.056618491086,17031.822279219286
53845.63916853445,791.3835892246377,11303.956767045527,1553.49169940875,2407.1469413366844,1033.8874373748233,2987.3223022198167,792.8493520007977,964.1938485642501,673.8395539403195,12728.979442659585,2910.0162760928747,0.0,37473.22765592775,16372.411512606697,17046.251066547018
54817.75105294646,793.2063262262709,11267.712581243779,1636.1752248306964,2503.6731932703897,1110.335744004663,3137.807726148661,826.7569701898192,1008.1750866346437,731.1062641199402,12968.268514691577,2932.4741285342598,0.0,38184.58549577475,16633.165557171713,17364.27182129165
55515.995884815165,838.3018899235906,11018.792580852996,1666.0614489613322,2456.4724621318783,1325.3095668783028,3341.1835443056043,840.443841823436,1021.2274031534438,725.5483613709926,13354.228943922828,2915.970171914322,0.0,38777.99185386774,16738.004030947428,17463.55239231842
58497.52203505401,864.2219467900981,11197.230255121214,1823.140229614076,2553.4885066448487,1702.7904537704862,3658.2033896649436,914.4462970245456,1071.1191286141695,654.8909365050973,14063.239971742418,3006.6811712058143,0.0,40854.5613501926,17642.96068486141,18297.85162136651
