Explained,Unexplained,Total Unreported
33902.11225451779,15191.967826795895,14565.645398366323
33904.49065840313,14940.831706380079,14308.234121041638
34213.06703610851,14965.84577563034,14370.432371638339
34282.506905459166,15123.9992040644,14504.421957745984
34673.9909626888,15392.66632439624,14760.620778203738
34727.484766802736,15277.516379950946,14636.297268951046
35491.363995397725,15549.596414471569,14912.764878677805
35491.568762396564,15427.73585678327,14766.744167456125
35931.125481802315,15734.737420018864,15037.909136362023
36556.482234814386,15979.050683325484,15269.679779600188
37132.66424784461,15939.901238332888,15247.380598579666
37874.12147974418,16194.891098775966,15439.075190565218
38669.38114064205,16361.836536768897,15638.648915583606
40662.2216623123,17214.868235211172,16561.256894746755
40953.3855871395,17283.838511754737,16635.140794397765
40080.37804877638,16742.159066905922,16116.677645033471
39313.69244666669,16604.839378463876,15971.665906705399
38902.991998241,16676.5653346206,16056.770993519165
39056.583829123025,16644.002675938813,16020.546211730425
38989.557756145594,16422.590268708555,15801.544987341635
38511.12653945153,16261.782835388687,15656.662994455677
38140.7271703079,16356.893407508134,15745.076748344116
38281.767962220474,16394.335514980172,15777.578565761141
37759.60258628262,15976.862781976597,15364.004266262506
37379.00986185486,15942.345912772827,15368.522592430496
36910.153872498115,15735.028416519432,15146.581008439289
36659.200277879434,15885.717899817835,15282.244475046728
36426.126323899385,15740.84332019998,15156.015886890003
35688.31431453731,15462.046372893215,14882.488540668714
35341.98577958823,15174.720836427623,14587.908140604923
35076.863244615684,15436.437436260137,14866.916684675236
34581.94081992632,15146.986010877154,14587.853701782748
34220.398042691486,15017.693171434767,14443.396051426635
34113.79903151525,14933.467992712562,14375.655646281173
33791.119742101095,14920.258196467643,14360.737075307668
33839.2351477632,15269.918651491571,14692.439613141905
33613.511737416586,15028.666277352328,14472.934516355555
33589.22272903972,14950.747888927166,14377.919542193647
33447.49674908945,14970.083883620064,14388.92948447661
33361.61655448872,15205.363849436224,14626.145870949083
33359.297226216964,14956.4714305261,14402.705353583604
33003.936108465445,14982.061618940606,14397.688716936247
32961.99377123788,14951.61295776425,14384.555641811445
32961.99177669807,14983.352865273773,14395.455917732179
33054.10154484302,15080.938809290317,14501.926845247539
32982.5902454915,14892.59212999393,14320.490576697423
32909.83070680046,14851.435324409627,14276.545844008899
33104.419267895246,15007.64863649712,14444.369307782543
33104.76260382825,15217.429003685102,14627.093825856955
33437.92634936629,15159.699208685815,14573.578984953532
33441.912436778315,15160.134354249436,14587.428684749406
33556.68769973586,15082.827933988694,14487.82841089887
