all_cause,septicemia,cancer,diabetes,Alzheimers,influenza_pneumonia,chronic_LRD,other_respiratory,kidney,NEC,heart_disease,CBVD,COVID19_UCOD,Explained,Unexplained,Total Unreported
49506.78647436162,661.2138372202837,11066.084329013765,1422.0535193746093,2091.4249086021305,758.8765290799332,2582.067961130082,745.7880317195967,850.0577539643452,596.7683020672108,11179.921186366611,2597.035048452046,0.0,33954.5231049234,15552.263369438226,14955.495067371014
49010.807532584025,701.9657879592146,11002.551182396535,1388.7133617767395,2058.699821423437,733.3299798898487,2535.1856744225224,735.7698273807122,838.0200211425583,600.2614766151919,11156.55823281053,2618.6809166790313,0.0,33769.474805881124,15241.332726702904,14641.071250087707
49939.21433189201,716.5663691631589,11049.510344661156,1480.2200265193671,2136.8309867260423,768.0540954028953,2671.4911003882985,728.0505320114166,839.0092852354603,575.1531840630489,11488.268480571232,2671.5859135753367,0.0,34549.58713425437,15389.627197637645,14814.474013574598
50470.32752407905,724.7213586518271,11077.896560201514,1474.9175159738174,2226.2848762070817,773.5693609523477,2630.3752060499164,749.3119564904015,894.8359490762375,619.431622091353,11520.578373779104,2717.848004826583,0.0,34790.33916220882,15679.988361870237,15060.556739778884
50916.14349575418,681.8576287615235,11086.722995517868,1498.1754062685868,2227.9097108677092,761.5265030934236,2642.9793214380757,756.990251562599,916.5945681202423,636.0773569638859,11690.300832899808,2636.269790310232,0.0,34899.327008840075,16016.816486914104,15380.739129950218
50704.65938761581,717.6427588873943,11078.12718687269,1509.2674378131385,2227.384328598435,798.2855222007846,2679.6589024698096,768.4411016694646,927.256030582558,605.2897976738989,11581.069415079135,2725.385361377506,0.0,35012.518045550925,15692.141342064882,15086.851544390984
51473.23387217625,722.6941426132188,10991.74621889438,1523.8552064242401,2241.3980270874576,840.0421121440293,2703.1269852499136,765.4835594650324,923.070910058342,596.8118648828773,12018.028399103212,2775.3071908836932,0.0,35504.75275192352,15968.481120252727,15371.66925536985
51748.61250801273,711.6584864771772,11112.333607672173,1563.1719488766212,2288.6083821345082,837.553576800362,2736.590143739077,717.6120086645708,950.7241133626618,621.9585952135496,12175.864313997681,2781.345276183852,0.0,35875.46185790869,15873.150650104042,15251.192054890493
52152.441394998874,754.4760910332454,10858.08051686782,1556.0164735551293,2233.968296316417,901.0610982319052,2903.777942181879,797.6807018558827,973.9000030632357,676.7831823685815,12390.380409304396,2811.1410088623675,0.0,36180.48254127228,15971.958853726597,15295.175671358014
52890.648507351885,762.9463362685613,11049.823037889231,1596.881175111079,2313.0016000805913,942.83562580513,2919.5241011114117,826.8588015966537,962.3235895465076,684.3974144765635,12355.535789455913,2794.464523767011,0.0,36524.19458063209,16366.453926719798,15682.056512243234
53958.44613690769,769.9788106987588,11259.848941036653,1592.0629805749993,2434.1118086090883,1034.6677963686798,3002.094142239234,801.1354386253345,977.8826846205307,663.7715605653037,12685.626195667712,2961.324253870323,0.0,37518.733052311305,16439.713084596384,15775.94152403108
