all_cause,septicemia,cancer,diabetes,Alzheimers,influenza_pneumonia,chronic_LRD,other_respiratory,kidney,NEC,heart_disease,CBVD,COVID19_UCOD,Explained,Unexplained,Total Unreported
59756.0,668.0,10740.0,1735.0,2356.0,738.0,2513.0,676.0,918.0,890.0,12166.0,2816.0,6313.0,41639.0,18117.0,19007.0
60686.0,648.0,10931.0,1772.0,2363.0,749.0,2434.0,691.0,909.0,898.0,12238.0,2724.0,7244.0,42703.0,17983.0,18881.0
60700.0,644.0,10883.0,1827.0,2337.0,733.0,2613.0,743.0,920.0,902.0,12084.0,2810.0,7343.0,42937.0,17763.0,18665.0
60145.0,739.0,10890.0,1648.0,2247.0,732.0,2475.0,692.0,852.0,980.0,12069.0,2844.0,6921.0,42109.0,18036.0,19016.0
59946.0,691.0,11014.0,1729.0,2350.0,706.0,2517.0,752.0,904.0,961.0,12146.0,2787.0,6276.0,41872.0,18074.0,19035.0
58841.0,689.0,10796.0,1766.0,2380.0,679.0,2497.0,735.0,890.0,958.0,12039.0,2780.0,5470.0,40721.0,18120.0,19078.0
57553.0,699.0,10957.0,1727.0,2271.0,629.0,2428.0,712.0,925.0,976.0,11755.0,2807.0,4913.0,39823.0,17730.0,18706.0
56507.0,656.0,10721.0,1661.0,2332.0,681.0,2408.0,761.0,865.0,1007.0,11728.0,2674.0,4174.0,38661.0,17846.0,18853.0
56005.0,640.0,10783.0,1741.0,2186.0,654.0,2412.0,707.0,873.0,1113.0,11584.0,2882.0,3804.0,38266.0,17739.0,18852.0
55923.0,705.0,10944.0,1691.0,2225.0,665.0,2369.0,756.0,851.0,1111.0,11893.0,2777.0,3461.0,38337.0,17586.0,18697.0
56905.0,705.0,11219.0,1686.0,2332.0,702.0,2505.0,742.0,867.0,1171.0,11887.0,2893.0,3514.0,39052.0,17853.0,19024.0
