,all_cause,septicemia,cancer,diabetes,Alzheimers,influenza_pneumonia,chronic_LRD,other_respiratory,kidney,NEC,heart_disease,CBVD,COVID19_UCOD,Explained,Unexplained
0,49094.08008131369,686.6797309672196,11144.463024026385,1396.4462438310807,2018.0805790629395,781.7613861325696,2534.3255900788536,706.1026897533836,858.2364335860934,626.3224284295729,11242.49153875554,2533.525038323723,0.0,33902.112254517786,15191.967826795895
1,48845.322364783206,698.1488746356015,11054.951229880231,1382.5756602980778,2038.0190263635734,785.0460458094832,2557.8336627757762,699.6490123554036,849.368940658537,632.5975853384408,11269.315794634065,2569.5824109923747,0.0,33904.49065840313,14940.83170638008
2,49178.912811738846,698.387588868313,11052.836873296592,1420.6811118704852,2047.0995988958718,815.6532112236923,2623.349723089724,700.5028605312118,860.2844174448082,595.4134039920017,11378.14519742404,2616.126453463769,0.0,34213.067036108514,14965.845775630341
3,49406.506109523565,729.4417807258021,11074.318587079284,1410.5195363605187,2116.03626866562,803.6136500707155,2597.695384058651,699.4981057190146,880.5330939930287,619.5772463184145,11338.742346796487,2632.108151990048,0.0,34282.50690545917,15123.9992040644
4,50066.657287085036,699.7166985766053,11078.651265039152,1434.7260333151917,2147.7355810743984,804.6644734624613,2647.416445797342,723.9324729236321,882.9506875177833,632.0455461925019,11586.521427654785,2667.675877327424,0.0,34673.9909626888,15392.66632439624
5,50005.00114675368,718.0427709333302,11050.109737158507,1484.0771146928446,2127.7651204096574,812.1240086969943,2656.980740766684,722.5603877093483,903.3714349601013,641.2191109999002,11588.0686707132,2664.384780762063,0.0,34727.484766802736,15277.516379950945
6,51040.960409869294,736.8884569857123,11177.507670899802,1483.424022183194,2187.3411302705804,863.66486077982,2709.9369734915867,734.7730559109427,923.352343265134,636.8315357937647,11927.768666779932,2746.706814831033,0.0,35491.363995397725,15549.596414471567
7,50919.304619179835,720.4187566012937,11015.643664963589,1499.0734129794516,2199.116499441303,863.2440894656244,2744.678618542087,714.3275979695845,929.8185797787268,660.9916893271454,12065.898996843867,2739.3485458110304,0.0,35491.568762396564,15427.735856783269
8,51665.86290182118,773.1519890320877,10962.742833483586,1491.6851025489277,2227.2845537762273,924.7157821124221,2862.804797604566,756.3697977752139,948.8572086125014,696.8282836568408,12227.857417991709,2755.6559988650915,0.0,35931.125481802315,15734.737420018864
9,52535.53291813987,748.5200753472461,11151.118665934659,1552.6252830447654,2288.7235083270652,984.3834450264856,2930.5192760998907,770.08153947792,962.6098016023124,709.370903725295,12358.11095531655,2809.789684637499,0.0,36556.482234814386,15979.050683325484
10,53072.5654861775,800.9057761272028,11245.715806832572,1524.9677460468872,2311.9232711572768,1096.5759646770962,3004.953353531661,780.9449005189451,943.9528849415707,692.5206397532214,12584.40373718429,2838.3208068271233,0.0,37132.664247844616,15939.901238332888
11,54069.012578520145,798.887486277849,11224.02239956562,1593.2305307881106,2412.122252123679,1181.8938505814192,3139.2881725528364,795.387312337856,1000.14353249465,755.8159082107487,12880.888185145674,2848.2577578764976,0.0,37874.12147974418,16194.891098775966
12,55031.21767741095,845.2775020167962,11022.104928214058,1626.2615842021007,2370.2350753246437,1455.3680332765762,3357.5962395771808,826.6055084377633,1019.0491294745073,723.1876211852907,13283.261407774076,2863.6217323443598,0.0,38669.38114064205,16361.836536768897
13,57877.089897523474,884.842408490504,11290.90172559954,1755.6154393362226,2499.7862203612617,1765.6067973018673,3586.9038318882704,899.5103932907248,1068.5395101141066,653.6113404644175,13903.491619932407,3007.0237159974076,0.0,40662.2216623123,17214.868235211172
